"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"11","Disease",1e-10,9.17857142857143e-09,NA,0.351654769918367,2.69248967561693,186,"RPS17;TCEB2;HSPA1A;B2M;ACTB;TCEB1;RPL13A;RPLP2;RPL27A;RPL31;RPL41;RPLP1;RPL21;RPL34;RPS27;RPS18;RPL7;RPL10;RPS2;CST3;RPL39;RPL36A;RPS29;RPS19;RPL13;RPL32;RPS14;RPS6;HSP90AA1;RPS20;RPL12;RPL26;RPL35;RPL18A;NR4A1;RPL37A;RPS12;RPS25;RPS23;LDHB;RPL23A;UBB;RPS15A;RPS4X;RPS28;RPL38;RPS15;RPS24;CYBA;RPS13;RPL28;RPL11;RPL36;RPL3;CCL2;GSN;RPL27;RPS27A;IGFBP2;RPS3;RPS3A;LYZ;PPIA;RPL9;RPS8;RPL10A;RPL19;RPL35A;RPL15;RPS16;ATF3;RPS5;KLF4;UBA52;CDC37;BANF1"
"12","Electron transport chain",1e-10,9.17857142857143e-09,NA,0.804383124207972,3.90990747884899,28,"ATP5E;ATP5L;ATP5G2;ATP5G3;ATP5J2;ATP5I;ATP5O;ATP5J;ATP5D;ATP5H;ATP5B;ATP5C1;ATPIF1;ATP5F1;ATP5A1;ATP5G1"
"13","Eosinophils in the chemokine network of allergy",0.000939128127656819,0.0302896596727286,0.477270815362862,0.982784810126582,1.70140851192129,2,"HLA-DRA;HLA-DRB1"
"14","Gene expression",1e-10,9.17857142857143e-09,NA,0.322025382020261,2.45962898835137,185,"RPS17;TCEB2;HSPA1A;HSPB1;TCEB1;RPL13A;RPLP2;RPL27A;EEF1A1;RPL31;RPL41;RPLP1;RPL21;RPL34;RPS27;RPS18;RPL7;RPL10;RPS2;RPL39;RPL36A;NR4A2;RPS29;RPS19;RPL13;RPL32;RPS14;RPS6;RPS20;RPL12;RPL26;RPL35;RPL18A;NR4A1;RPL37A;RPS12;RPS25;RPS23;RPL23A;UBB;RPS15A;RPS4X;RPS28;RPL38;RPS15;RPS24;RPS13;RPL28;RPL11;RPL36;RPL3;RPL27;RPS27A;RPS3;RPS3A;RPL9;RPS8;RPL10A;RPL19;RPL35A;RPL15;YBX1;RPS16;RPS5;UBA52;PPARG;RPL4;RPL14;RPL17;EIF4A3;EIF4EBP1;RPL8;SNRPD2;RPL37;RPL22"
"15","Generation of second messenger molecules",0.00162664079469615,0.0454398569822729,0.45505986738723,0.551135917911241,2.14142163984256,14,"HLA-DRA;HLA-DRB1;HLA-DPB1;HLA-DPA1;HLA-DRB5;HLA-DQA1;HLA-DQB1;FYB"
"16","Graft-versus-host disease",3.38512930051562e-05,0.00173995646046503,0.557332238758646,0.667526329515492,2.59365300052783,14,"HLA-DRA;HLA-DRB1;HLA-DPB1;HLA-DPA1;HLA-DRB5;HLA-DQA1;HLA-DQB1;HLA-B;HLA-DMA"
"17","Huntington's disease",5.47120150232741e-09,4.13558466499454e-07,0.761460801445585,0.554595945010444,2.98050642861509,39,"GPX1;ATP5E;ATP5G2;ATP5G3;ATP5O;ATP5J;ATP5D;ATP5H;ATP5B;ATP5C1;ATP5F1;ATP5A1;ATP5G1"
"18","Immune system",0.000137016146765078,0.00652095365159725,0.518848077743792,-0.289033564027174,-1.70928732874362,248,"S100A12;IFITM2;TLR2;PTPRC;LYN;RAP1B;DUSP6;LILRB2;LCP2;TLR4;GBP1;IGLC2;STAT1;KRAS;JAK1;IFNGR2;PAK2;PIK3AP1;GBP5;IL1R2;IRF1;CD55;CLTC;IRAK3;ISG20;CSF2RB;RNF19B;IL6R;ITGB1;MX2;XAF1;PTAFR;UBR4;TANK;YWHAZ;UBE2B;CR1;IFI27;UBE2D1;MX1;LILRB3;MDM2;IRAK1;IGKC;SELL;NCF1;MAP3K1;GRB2;IFIH1;IFNAR1;IFIT3;CASP4;TAP1;SYK;MAP2K2;UBE2J1;UBE2R2;KIF5B;ADAR;IFITM3;UBE2M;CAPZA1;PAG1;PTEN;SP100;PJA2;RPS6KA3;WSB1;GBP4;EIF4G2;IFITM1;PLCG2;MYD88;SQSTM1;NFKB1;GBP2;TAPBP;TRIP12;IFNGR1;ICAM1;STAT3;EIF2AK2;EP300;HLA-F;TLR1;IL1R1;PSMB4;IRF7;MAPKAPK2;IFIT2;PRKCB;WAS;IGLC3;CRK;ADAM17;OAS2;JAK3;YWHAB;KPNA4;CUL3;TRIM25;HCK;SH3KBP1;AP1S2;CBL;KPNB1;OAS1;TAB2;IRF2;MAP2K3;PPP2R5C;DTX3L;LILRB1;VASP;TAX1BP1;CYBB;UBE2D2;PTPN2;UBE2H;IFIT1;CANX;TNFRSF14;UBE2D3;LILRB4;STAT2"
"19","Immune system signaling by interferons, interleukins, prolactin, and growth hormones",0.000493200397040006,0.0198050784436378,0.477270815362862,-0.340400714400896,-1.7772922933482,106,"IFITM2;LYN;GBP1;STAT1;KRAS;JAK1;IFNGR2;GBP5;IL1R2;IRF1;IRAK3;ISG20;CSF2RB;IL6R;MX2;XAF1;PTAFR;YWHAZ;IFI27;MX1;IRAK1;GRB2;IFNAR1;IFIT3;SYK;MAP2K2;ADAR;IFITM3;SP100;GBP4;EIF4G2;IFITM1;MYD88;SQSTM1;NFKB1;GBP2;IFNGR1;ICAM1;STAT3;EIF2AK2;HLA-F;IL1R1;IRF7;IFIT2;CRK;ADAM17;OAS2;JAK3;YWHAB;KPNA4;TRIM25;HCK;CBL;KPNB1;OAS1;TAB2;IRF2"
"20","Influenza infection",1e-10,9.17857142857143e-09,NA,0.656180930398025,4.34852796384725,88,"RPS17;HSPA1A;RPL13A;RPLP2;RPL27A;RPL31;RPL41;RPLP1;RPL21;RPL34;RPS27;RPS18;RPL7;RPL10;RPS2;RPL39;RPL36A;RPS29;RPS19;RPL13;RPL32;RPS14;RPS6;HSP90AA1;RPS20;RPL12;RPL26;RPL35;RPL18A;RPL37A;RPS12;RPS25;RPS23;RPL23A;RPS15A;RPS4X;RPS28;RPL38;RPS15;RPS24;RPS13;RPL28;RPL11;RPL36;RPL3;RPL27;RPS27A;RPS3;RPS3A;RPL9;RPS8;RPL10A;RPL19;RPL35A;RPL15;RPS16;RPS5;UBA52;RPL4;RPL14;RPL17;RPL8;RPL37;RPL22;RPS26;RPS9;RPL6;RPS21"
"21","Influenza viral RNA transcription and replication",1e-10,9.17857142857143e-09,NA,0.718959562380561,4.66309032231979,82,"RPS17;RPL13A;RPLP2;RPL27A;RPL31;RPL41;RPLP1;RPL21;RPL34;RPS27;RPS18;RPL7;RPL10;RPS2;RPL39;RPL36A;RPS29;RPS19;RPL13;RPL32;RPS14;RPS6;HSP90AA1;RPS20;RPL12;RPL26;RPL35;RPL18A;RPL37A;RPS12;RPS25;RPS23;RPL23A;RPS15A;RPS4X;RPS28;RPL38;RPS15;RPS24;RPS13;RPL28;RPL11;RPL36;RPL3;RPL27;RPS27A;RPS3;RPS3A;RPL9;RPS8;RPL10A;RPL19;RPL35A;RPL15;RPS16;RPS5;UBA52;RPL4;RPL14;RPL17;EIF4A3;RPL8;RPL37;RPL22;RPS26;RPS9;RPL6;RPS21"
"22","Interferon alpha/beta signaling",0.000949788820451859,0.0302896596727286,0.477270815362862,-0.467867346770552,-1.93578090305889,34,"IFITM2;STAT1;JAK1;IRF1;ISG20;MX2;XAF1;IFI27;MX1;IFNAR1;IFIT3;ADAR;IFITM3;IFITM1;GBP2;HLA-F;IRF7;IFIT2;OAS2;OAS1;IRF2;IFIT1;STAT2;OAS3;PSMB8"
"23","Interleukin-2 signaling pathway",0.00101298927322359,0.0302896596727286,0.45505986738723,-0.281224009266238,-1.61768590289821,205,"TNFRSF1B;CCL3L1;NINJ1;CCR1;PTPRC;ZEB2;LYN;PLEK;NAMPT;DUSP6;LCP2;TLR4;GBP1;STAT1;KRAS;JAK1;LIMS1;CFLAR;ACSL1;IRF1;B4GALT5;CD55;TIMP2;CLTC;CSF2RB;TNFSF10;SLC2A3;VAMP5;NR3C1;FMNL1;PREX1;SPAG9;MX1;TXNRD1;TOP1;SELL;ITGAX;FLOT1;GRB2;ZNF267;TAP1;SYK;MAP2K2;FGR;USP15;ELF1;IFITM3;EHD1;SORL1;PIM1;LITAF;USF2;SP100;MACF1;RPS6KA3;FOSL2;WAC;ADAM8;SLC39A8;PFKFB3;UPP1;NFKB1;E2F3;DNAJC3;ICAM1;BCL6;STAT3;MYO1F;KMT2C;BNIP3L;ITGAM;IL1R1;IFI44;RAB31;DOCK8;DOCK5;ETS2;CYTH4;MAPKAPK2;PRKCB;JAK3;YWHAB;TES;CBL;WARS;TAB2;MOB3A;PPP2R5C;ARRB2;ARF6;TMF1;IFIT1;TNFRSF14;AGO2;NFAT5;NMI;VNN2;ATF5;ATRX;FAM214B;JUND;THEMIS2;MAPK1;ARHGDIA;THRAP3;ZSWIM6;LPIN2;WDFY1;ITGB2"
"24","Intestinal immune network for IgA production",0.00011021922449527,0.00544737321063162,0.538434096309916,0.683503994290959,2.42752882502615,11,"HLA-DRA;HLA-DRB1;HLA-DPB1;HLA-DPA1;HLA-DRB5;HLA-DQA1;HLA-DQB1;HLA-DMA"
"25","Jak-STAT signaling pathway",0.000938149251573773,0.0302896596727286,0.477270815362862,-0.455388264842492,-1.93160000954364,37,"PTPRC;CSF3R;STAT1;JAK1;IFNGR2;PTP4A2;CSF2RB;PTPRE;IL6R;PTPN12;PTPRJ;GRB2;IFNAR1;PIM1;PIK3R5;IFNGR1;STAT3;EP300;JAK3;CBL;PTPN2;STAT2;PIAS1;IL10RA;IL13RA1;IL4R;CREBBP;IL6ST;SOS2;STAT6"
"26","MHC class II antigen presentation",0.000353221575229415,0.0151479151585467,0.49849310876659,0.45476438846628,2.16706721025901,27,"CD74;HLA-DRA;HLA-DRB1;HLA-DPB1;HLA-DPA1;HLA-DRB5;HLA-DQA1;CTSD;HLA-DQB1"
"27","Metabolism",0.000779769783072356,0.0270811938175129,0.477270815362862,0.212045955730679,1.59119072865451,167,"GPX1;ATP5E;ATP5L;ATP5G2;ATP5G3;ATP5J2;ALDOA;ATP5I;ATP5O;ATP5J;ATP5D;ATP5H;APOE;FABP4;ATP5B;ATP5C1;FBP1;LPL;ATP5F1;ATP5A1;INHBA;ATP5G1;HSP90AA1;GCHFR;CES1"
"28","Mitochondrial protein import",0.000565627510192236,0.0211365257829008,0.477270815362862,0.760406091370558,2.25585548472719,7,"ATP5B;ATP5A1;ATP5G1;HSPD1;TIMM13;TOMM7;TOMM22"
"29","NF-kappaB signaling pathway",0.0010135839423559,0.0302896596727286,0.45505986738723,-0.69969512195122,-1.96472828665299,9,"TNFRSF1B;TLR4;IRAK1;MAP3K1;MAP4K4;MYD88;NFKB1;IL1R1;TNFRSF1A"
"30","Oxidative phosphorylation",1e-10,9.17857142857143e-09,NA,0.63603089080969,3.40410923983545,37,"ATP5E;ATP5L;ATP5G2;ATP5G3;ATP5J2;ATP5I;ATP5O;ATP5J;ATP5D;ATP5H;ATP5B;ATP5C1;ATP5F1;ATP5A1;ATP5G1"
"31","PD-1 signaling",0.000353647824713152,0.0151479151585467,0.49849310876659,0.630595670917262,2.29743958076766,12,"HLA-DRA;HLA-DRB1;HLA-DPB1;HLA-DPA1;HLA-DRB5;HLA-DQA1;HLA-DQB1"
"32","PDGFB signaling pathway",0.000735842339283584,0.0262654834994279,0.477270815362862,-0.41888095416204,-1.91487371606858,50,"LYN;IQGAP1;RAP1B;STAT1;KRAS;ACTR2;SLA;YWHAZ;PTPRJ;WASF2;GRB2;MAP2K2;FGR;ACTR3;PAG1;PTEN;DOCK4;RPS6KA3;YWHAG;PIK3R5;STAT3;EIF2AK2;ARPC5;ABI1;CRK;YWHAB;HCK;CBL;PTPN2;JUND;MAPK1;ARHGDIA;ARPC4"
"33","PI3K class IB pathway in neutrophils",0.000375043809184823,0.0155461708000806,0.49849310876659,-0.61560331139652,-1.9996795213396,15,"FPR1;KRAS;PREX1;NCF1;FGR;PTEN;C5AR1;PIK3R5;MYO1F;CYTH4;PRKCB;HCK;ARF6"
"34","Parkinson's disease",1.195828058952e-10,1.02442603716888e-08,0.826657301178302,0.684431069867259,3.32685020147031,28,"ATP5E;ATP5G2;ATP5G3;ATP5O;ATP5J;ATP5D;ATP5H;ATP5B;ATP5C1;ATP5F1;ATP5A1;ATP5G1;UBB"
"35","Prostaglandin biosynthesis and regulation",0.00157282280972114,0.0449128291220371,0.45505986738723,0.816871210775466,2.08408438719303,5,"S100A6;SCGB1A1;S100A10;ANXA2;HPGD"
"36","Protein metabolism",1e-10,9.17857142857143e-09,NA,0.583405240563432,4.0076787089056,111,"RPS17;ATP5B;ACTB;RPL13A;RPLP2;RPL27A;EEF1A1;RPL31;RPL41;RPLP1;RPL21;RPL34;RPS27;RPS18;ATP5A1;RPL7;RPL10;RPS2;RPL39;RPL36A;RPS29;RPS19;RPL13;ATP5G1;RPL32;RPS14;RPS6;RPS20;RPL12;RPL26;RPL35;RPL18A;RPL37A;RPS12;RPS25;RPS23;RPL23A;RPS15A;RPS4X;RPS28;RPL38;RPS15;RPS24;RPS13;RPL28;RPL11;RPL36;RPL3;RPL27;RPS27A;RPS3;RPS3A;RPL9;RPS8;RPL10A;RPL19;RPL35A;HSPD1;RPL15;RPS16;RPS5;UBA52;RPL4;RPL14;RPL17;EIF4EBP1;RPL8;RPL37;RPL22;RPS26;RPS9;TIMM13;RPL6;RPS21;TUBA1B"
"37","Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins",1e-10,9.17857142857143e-09,NA,0.784847736671797,3.652460184256,24,"ATP5E;ATP5L;ATP5J2;ATP5I;ATP5O;ATP5J;ATP5D;ATP5H;ATP5B;ATP5C1;ATP5F1;ATP5A1;ATP5G1"
"38","Signaling by interleukins",1.14156251099627e-05,0.000698527536490577,0.593325476396405,-0.552466378747857,-2.26850046448908,33,"LYN;STAT1;KRAS;JAK1;IL1R2;IRAK3;CSF2RB;IL6R;YWHAZ;IRAK1;GRB2;SYK;MAP2K2;MYD88;SQSTM1;NFKB1;STAT3;IL1R1;CRK;JAK3;YWHAB;HCK;CBL;TAB2"
"39","Support of platelet aggregation by Eph kinases and ephrins",0.000547530365182906,0.0211365257829008,0.477270815362862,-0.925531914893617,-1.78216984426995,3,"LYN;RAP1B;ITGB1"
"40","Systemic lupus erythematosus",7.21829477552525e-08,5.15306043697219e-06,0.704975715167238,0.713262348909547,2.99071669907566,18,"HLA-DRA;C1QA;HLA-DRB1;C1QC;HLA-DPB1;HLA-DPA1;C1QB;HLA-DRB5;HLA-DQA1;HLA-DQB1;HLA-DMA;FCGR2B"
"41","Thromboxane A2 receptor signaling",0.00144261629828846,0.0421309532568333,0.45505986738723,-0.575054541148003,-1.94848122243425,17,"LYN;GNAI2;ROCK1;SYK;FGR;GNB1;GNA13;PIK3R5;ICAM1;GNAQ;PRKCB;HCK;ARRB2"
"42","Translation",1e-10,9.17857142857143e-09,NA,0.709359868166883,4.63051114932456,86,"RPS17;RPL13A;RPLP2;RPL27A;EEF1A1;RPL31;RPL41;RPLP1;RPL21;RPL34;RPS27;RPS18;RPL7;RPL10;RPS2;RPL39;RPL36A;RPS29;RPS19;RPL13;RPL32;RPS14;RPS6;RPS20;RPL12;RPL26;RPL35;RPL18A;RPL37A;RPS12;RPS25;RPS23;RPL23A;RPS15A;RPS4X;RPS28;RPL38;RPS15;RPS24;RPS13;RPL28;RPL11;RPL36;RPL3;RPL27;RPS27A;RPS3;RPS3A;RPL9;RPS8;RPL10A;RPL19;RPL35A;RPL15;RPS16;RPS5;UBA52;RPL4;RPL14;RPL17;EIF4EBP1;RPL8;RPL37;RPL22;RPS26;RPS9;RPL6;RPS21"
"43","Tricarboxylic acid (TCA) cycle and respiratory electron transport",1e-10,9.17857142857143e-09,NA,0.771275515049024,3.63513445738305,25,"ATP5E;ATP5L;ATP5J2;ATP5I;ATP5O;ATP5J;ATP5D;ATP5H;ATP5B;ATP5C1;ATP5F1;ATP5A1;ATP5G1;LDHB"
"44","Type 1 diabetes mellitus",1.21313741877429e-05,0.000708582537784071,0.593325476396405,0.675903325110377,2.67946619617427,15,"HLA-DRA;HLA-DRB1;HLA-DPB1;HLA-DPA1;HLA-DRB5;HLA-DQA1;HLA-DQB1;HLA-B;HSPD1;HLA-DMA"
"45","Type I interferon (interferon-alpha/beta) pathway",0.00021325600690615,0.00978692745980011,0.518848077743792,-0.676341457091098,-2.0719004837354,12,"PTPRC;STAT1;JAK1;PTP4A2;PTPRE;PTPN12;PTPRJ;IFNAR1"
"46","Viral myocarditis",0.000980989700631312,0.0302896596727286,0.45505986738723,0.448991007043637,2.0489998438485,23,"HLA-DRA;HLA-DRB1;ACTB;HLA-DPB1;HLA-DPA1;HLA-DRB5;HLA-DQA1;HLA-DQB1;HLA-B;HLA-DMA"
