pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GPCR ligand binding,0.000211472,0.005537426,0.518848078,-0.435840558,-2.38316719,37,CXCL8;CXCL3;CXCL2;CCL3;CCL4;CCL20;CXCL1;ANXA1;NMB;CXCL5
Hypoxic and oxygen homeostasis regulation of HIF-1-alpha,8.74E-05,0.002895218,0.538434096,-0.693939469,-2.385044413,11,GNB2L1;TCEB2;TCEB1;HSP90AA1
FRA pathway,0.000203833,0.005468942,0.518848078,-0.670619024,-2.394876578,12,CXCL8;JUN;THBD;PLAUR;MGP;DCN;COL1A2
Antigen processing and presentation,0.000263211,0.006416906,0.498493109,-0.453852446,-2.396204152,32,HSPA1A;B2M;CD74;HSPA1B;HLA-DRA;HLA-DRB1;HSP90AA1;HLA-DPA1;HLA-DPB1;HLA-DRB5;HLA-B;CTSB
Interleukin-12-mediated signaling events,0.000104148,0.003201419,0.538434096,-0.506178676,-2.409981429,26,B2M;CCL3;HLA-DRA;IL1B;CCL4L2;HLA-DRB1;FOS;IL1R1;GADD45B
Arachidonic acid metabolism,0.000127465,0.003766993,0.518848078,-0.740257046,-2.416517847,9,GPX1;PTGS2;LTA4H;HPGDS;GPX4;GPX3;AKR1C3
Huntington's disease,2.06E-05,0.000831287,0.575610261,-0.353262901,-2.42406314,85,ATP5E;GPX1;ATP5G2;ATP5G3;ATP5J;ATP5H;ATP5O;ATP5D;ATP5B;ATP5C1;ATP5F1;ATP5A1;ATP5G1;COX7C;UQCRB;UQCR11;NDUFA4;COX7A2;COX4I1;UQCRHL;COX6B1
Signal transduction through IL-1R,0.000140455,0.004053143,0.518848078,-0.65579605,-2.425852767,13,IL1B;JUN;FOS;NFKBIA;IL1RN;IL1R1;IL1RAP
Tricarboxylic acid (TCA) cycle and respiratory electron transport,1.25E-05,0.000571342,0.593325476,-0.390964342,-2.440114234,64,ATP5E;ATP5L;ATP5J2;ATP5I;ATP5J;ATP5H;ATP5O;ATP5D;ATP5B;ATP5C1;ATP5F1;ATP5A1;ATP5G1
Prostaglandin biosynthesis and regulation,9.06E-05,0.002895218,0.538434096,-0.691219998,-2.468445607,12,S100A6;S100A10;ANXA2;ANXA1;PTGS2;SCGB1A1;ANXA5
Interleukin-5 regulation of apoptosis,4.46E-05,0.00170542,0.557332239,-0.409683199,-2.481585285,52,CXCL8;CXCL2;CCL3;IL1B;CXCL1;RGS2;INHBA;FOS;IER3;PTGS2;EGR1;ID2
Leishmaniasis,7.09E-05,0.002570687,0.538434096,-0.472969031,-2.492039813,33,HLA-DRA;IL1B;HLA-DRB1;JUN;FOS;HLA-DPA1;CYBA;HLA-DPB1;HLA-DRB5;PTGS2;NFKBIA
AP-1 transcription factor network,7.64E-05,0.002699559,0.538434096,-0.517164494,-2.51183379,27,FABP4;CXCL8;DUSP1;JUN;FOS;TIMP1;EGR1;FOSB
Gastrin pathway,1.45E-05,0.000641916,0.593325476,-0.666279402,-2.552063285,14,CXCL8;S100A6;JUN;FOS;IER3;PTGS2
Chagas disease,2.05E-05,0.000831287,0.575610261,-0.461274883,-2.555754563,40,CXCL8;CCL3;IL1B;C1QA;C1QB;JUN;FOS;CCL3L3;C1QC;NFKBIA
Cytokines and inflammatory response,9.05E-06,0.000426357,0.593325476,-0.77116893,-2.579723202,10,CXCL8;CXCL2;HLA-DRA;IL1B;CXCL1;HLA-DRB1
Alzheimer's disease,1.67E-06,9.82E-05,0.643551836,-0.399491945,-2.584277284,74,ATP5E;ATP5G2;ATP5G3;ATP5J;IL1B;ATP5H;ATP5O;ATP5D;ATP5B;ATP5C1;LPL;ATP5F1;ATP5A1;ATP5G1;GAPDH;COX7C;UQCRB;UQCR11;NDUFA4;COX7A2;CALM2;COX4I1;UQCRHL;COX6B1
Binding of chemokines to chemokine receptors,7.56E-06,0.000381724,0.610526878,-0.680970754,-2.608335865,14,CXCL8;CXCL3;CXCL2;CCL3;CCL4;CCL20;CXCL1
Response to elevated platelet cytosolic calcium,1.60E-05,0.000687016,0.575610261,-0.531605357,-2.63840103,29,TMSB4X;FN1;ALDOA;CD9;PFN1;TIMP1;CD63;CFL1;PSAP;SERPINA1;PPIA;SRGN;SPARC
Peptide G-protein coupled receptors,8.97E-06,0.000426357,0.593325476,-0.639064899,-2.702169945,18,CXCL8;CXCL3;CXCL2;CCL3;CCL4;CCL20;CXCL1;ANXA1;NMB;CXCL5
Parkinson's disease,3.30E-06,0.000179211,0.62725674,-0.436206492,-2.703608707,61,ATP5E;ATP5G2;ATP5G3;ATP5J;ATP5H;ATP5O;ATP5D;ATP5B;ATP5C1;UBB;ATP5F1;ATP5A1;ATP5G1;COX7C;UQCRB;UQCR11;NDUFA4;COX7A2;COX4I1;UQCRHL;COX6B1
"TNF-alpha effects on cytokine activity, cell motility, and apoptosis",3.96E-06,0.000207161,0.610526878,-0.462934918,-2.713636085,48,GPX1;CXCL8;CXCL3;CXCL2;CCL4;ATP5J;IL1B;CXCL1;INHBA;CD83;NFKBIA;BCL2A1;SLPI;IL1RN;TNFAIP3;IGFBP2
TSH regulation of gene expression,2.48E-06,0.000140377,0.62725674,-0.516028051,-2.777371128,36,CXCL8;S100A4;RGS2;JUN;FOS;CYBA;PTGS2;EGR1;PPP1R15A;GADD45B;DUSP2;TNFAIP3;NR4A1;PPIC
RAGE pathway,3.25E-07,2.09E-05,0.67496286,-0.73587478,-2.818635851,14,FABP4;CXCL8;FN1;IL1B;TIMP1;CYBA;ID2
Oncostatin M,4.55E-08,3.39E-06,0.719512826,-0.424847173,-2.824716853,77,CXCL8;CXCL3;B2M;CXCL2;CCL20;FN1;VIM;CXCL1;S100A12;LPL;SEPP1;JUN;ANXA1;S100P;TIMP1;IER3;PTGS2;PLAUR;IL1R1;NMB;CXCL5;CTSB;IGFBP2;MT1E;CH25H;AKR1C3;IGFBP6;HCAR3
"Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins",2.69E-07,1.81E-05,0.67496286,-0.475953284,-2.85705563,51,ATP5E;ATP5L;ATP5J2;ATP5I;ATP5J;ATP5H;ATP5O;ATP5D;ATP5B;ATP5C1;ATP5F1;ATP5A1;ATP5G1;COX7C;UQCRB;UQCR11;NDUFA4;COX4I1;COX6B1
BDNF signaling pathway,3.37E-10,3.18E-08,0.814035838,-0.505820736,-3.143943107,66,HSPA1A;HSPA1B;S100A4;S100A10;DNAJB1;S100A11;DUSP1;RGS2;HSPB1;JUN;FOS;TIMP1;RPS6;PTGS2;EGR1;MGP;BTG1;AQP3;ID2;INSIG1;FOSB;EMP3;NR4A2;RHOB;PLP2;NR4A1;MAFF;ARPC1B;AKR1C3
Oxidative phosphorylation,4.15E-10,3.67E-08,0.814035838,-0.540452232,-3.317526015,56,ATP5E;ATP5L;ATP5G2;ATP5J2;ATP5G3;ATP5I;ATP5J;ATP5H;ATP5O;ATP5D;ATP5B;ATP5C1;ATP5F1;ATP5A1;ATP5G1;COX7C;UQCRB;ATP6V1F;UQCR11;NDUFA4;COX7A2;COX4I1;UQCRHL;COX6B1
Electron transport chain,2.18E-10,2.37E-08,0.826657301,-0.541932129,-3.319696304,55,ATP5E;ATP5L;ATP5G2;ATP5J2;ATP5G3;ATP5I;ATP5J;ATP5H;ATP5O;ATP5D;ATP5B;ATP5C1;ATPIF1;ATP5F1;ATP5A1;ATP5G1;COX7C;UQCRB;UQCR11;NDUFA4;COX7A2;COX4I1;UQCRHL;COX6B1
Chemiosmotic coupling formation of ATP,1.00E-10,1.18E-08,NA,-0.958686914,-3.546275253,13,ATP5E;ATP5L;ATP5J2;ATP5I;ATP5J;ATP5H;ATP5O;ATP5D;ATP5B;ATP5C1;ATP5F1;ATP5A1;ATP5G1
Interleukin-1 regulation of extracellular matrix,1.00E-10,1.18E-08,NA,-0.699445518,-3.80754886,38,CXCL8;CXCL3;CXCL2;CCL4;CCL20;IL1B;CXCL1;JUN;INHBA;FOS;FABP5;PTGS2;NFKBIA;IL1RN;TNFAIP6;HLA-B;RHOB;CXCL5;TNFAIP3;DCN;SRGN;HBEGF;COL1A2;PLXDC2;BIRC3;ICAM1
"Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",1.00E-10,1.18E-08,NA,-0.658122649,-3.840530607,47,RPS17;RPS27;RPS18;RPS29;RPS28;RPS12;RPS19;RPS24;RPS14;RPS2;RPS15A;RPS6;RPS13;RPS23;RPS25;RPS3A;RPS27A;RPS15;RPS20;RPS3;RPS16;RPS4X;RPS9;FAU;RPS8;RPS5;RPS7;RPS21;RPS11;RPS26
Cap-dependent translation initiation,1.00E-10,1.18E-08,NA,-0.711695273,-4.411088715,61,RPL41;RPLP1;RPLP2;RPL21;RPL34;RPL39;RPL31;RPL7;RPL10;RPL32;RPL13;RPL26;RPL13A;RPL18A;RPL12;RPL27A;RPL11;RPL37A;RPL38;RPL27;RPL9;RPL28;RPL23A;RPL35;RPL35A;RPL19;RPL8;UBA52;RPL15;RPL37;RPL36;RPL30;RPL14;RPL3;RPL6;RPL22;RPL29;RPL10A;RPL36A;RPL23;RPL24;RPL7A
Influenza infection,1.00E-10,1.18E-08,NA,-0.758269197,-5.394639797,100,HSPA1A;RPS17;RPL41;RPLP1;RPLP2;RPS27;RPL21;RPL34;RPL39;RPL31;RPS18;RPL7;RPL10;RPL32;RPL13;RPS29;RPL26;RPL13A;RPS28;HSP90AA1;RPS12;RPL18A;RPL12;RPL27A;RPS19;RPS24;RPS14;RPS2;RPS15A;RPS6;RPS13;RPS23;RPS25;RPS3A;RPS27A;RPL11;RPL37A;RPS15;RPL38;RPL27;RPS20;RPL9;RPS3;RPL28;RPS16;RPL23A;RPL35;RPL35A;RPL19;RPS4X;RPL8;UBA52;RPL15;RPL37;RPS9;RPL36;RPL30;RPL14;RPL3;RPL6;RPL22;RPL29;FAU;RPS8;RPL10A;RPS5;RPL36A;RPS7;RPL23;RPS21;RPL24;RPL7A;RPS11;RPL18
Cytoplasmic ribosomal proteins,1.00E-10,1.18E-08,NA,-0.811581623,-5.618198239,88,RPS17;RPL41;RPLP1;RPLP2;RPS27;RPL21;RPL34;RPL39;RPL31;RPS18;RPL7;RPL10;RPL32;RPL13;RPS29;RPL26;RPL13A;RPS28;RPS12;RPL18A;RPL12;RPL27A;RPS19;RPS24;RPS14;RPS2;RPS15A;RPS6;RPS13;RPS23;RPS25;RPS3A;RPS27A;RPL11;RPL37A;RPS15;RPL38;RPL27;RPS20;RPL9;RPS3;RPL28;RPS16;RPL23A;RPL35;RPL35A;RPL19;RPS4X;RPL8;UBA52;RPL15;RPL37;RPS9;RPL36;RPL30;RPL14;RPL3;RPL6;RPL22;RPL29;FAU;RPS8;RPL10A;RPS5;RPL36A;RPS7;RPL23;RPS21;RPL24;RPL7A;RPS11;RPL18
