"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"41","Gene expression",9.40663461164015e-06,0.000475706950360087,0.593325476396405,-0.322679600692618,-1.67606412684953,337,"RPS17;HSPB1;TCEB2;PSME2;RPL36A;PSMB6;SSB;HSPA1A;SNRPD2;EIF3G;SNRPE;TRAM1;EIF3E;EIF4EBP1;SNRPD3;SNRPF;EIF4A1;PSMA5;WARS;PSMB2;LSM7;SRSF7;PSMB7;SNRPD1;RPL17;TCEB1;EIF3F;EIF4A3;SNRPB2;PPA1;EIF5B;PSMB9;EIF3I;SRSF11;EIF3D;PSMC5;HNRNPD;NARS;SEC11C;POLR2K;PSMB5;MAGOH;NCOR1;LSM4;EIF1AX;PSMA3;LSM5;HNRNPR;SRP19;LSM6;TXNL4A;AIMP1;PSMC2;PSMD11;POLR2E;PSMD13;PSMC3;TAF9;SNW1;POLR2I;HNRNPA0;PSMC4;XPO1;EIF4E;RPL27A;TCEA1;POLR2F;EIF3J;SRP72;SRSF4;PPARG;SNRNP70;POLR2G;PABPN1;NR4A2;PSMD14;RNMT;CHD9;DARS;LSM2;PTBP1;RBMX;EIF4G1;KARS;PSMD1;NRBP1;RPL31;RNPS1;PSMF1;PSMD2;XRN1;PSMB10;TGIF1;PPP2R1A;SEC61A1;DDOST;GTF2B;SRP54;CD2BP2;RPL26L1;RPL13A;NELFE;NFIC;CNOT1;CDC40;CLNS1A;ZNF331;HNRNPUL1;RPS20;MAML2;MED8;EIF2S1;TRIM33;NR4A1;SMAD2;SUPT5H;PCF11;NR1H2;TNPO1;SARS;PSMD6;GARS;LSM1;PSMD3"
"42","Generation of second messenger molecules",5.90932532861932e-06,0.00034865019438854,0.610526878385931,-0.738256383312152,-2.23044271379751,14,"HLA-DQA1;HLA-DRB1;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;HLA-DQA2;HLA-DRB5;CD4;EVL"
"43","Graft-versus-host disease",1.17002966309074e-07,1.18340143066892e-05,0.704975715167238,-0.770117229475024,-2.47718542790415,17,"HLA-DQA1;HLA-DMB;HLA-DRB1;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;HLA-DQA2;HLA-F;HLA-DRB5;CD86"
"44","HIF-1 degradation in normoxia",0.000211328105046272,0.00482646123783098,0.518848077743792,-0.485837579198427,-1.99410124707553,46,"PSME2;PSMB6;PSMA5;PSMB2;PSMB7;TCEB1;PSMB9;PSMC5;PSMB5;PSMA3;APEX1;PSMG2;PSMC2;PSMD11;PSMD13;SAT2;PSMC3;PSMC4;PSMD14;PSMD1;PSMF1;PSMD2;PSMB10;MAPK6;PSMD6;PSMD3;HSP90AA1;PSMD12"
"45","HIV factor interactions with host",5.54468879343292e-05,0.00167048496414915,0.557332238758646,-0.447008937098871,-1.9723014202613,71,"TCEB2;PSME2;PSMB6;BANF1;PSMA5;PSMB2;PSMB7;TCEB1;RANBP1;PSMB9;CD4;PSMC5;PSMB5;PSMA3;PSMC2;PSMD11;PSMD13;PSMC3;PSMC4;XPO1;ATP6V1H;PSMD14;AP2B1;AP2A2;DOCK2;PSMD1;PSMF1;PSMD2;PSMB10"
"46","HIV infection",0.000288975248325077,0.00610729778549715,0.49849310876659,-0.380022667913367,-1.78973891188464,110,"TCEB2;PSME2;PSMB6;BANF1;PSMA5;PSMB2;PSMB7;TCEB1;XRCC6;RANBP1;PSMB9;CD4;PSMC5;POLR2K;PSMB5;PSMA3;PSMC2;PSMD11;POLR2E;PSMD13;PSMC3;TAF9;POLR2I;PSMC4;XPO1;TCEA1;POLR2F;POLR2G;ATP6V1H;PSMD14;RNMT;AP2B1;AP2A2;DOCK2;PSMD1;PSMF1;PSMD2;PSMB10;GTF2B;AP1B1;NELFE"
"47","Huntington's disease",1e-10,1.96278845908086e-08,NA,-0.557540264436757,-2.52661246683999,85,"ATP5E;GPX1;ATP5G2;ATP5G3;SOD1;NDUFA3;NDUFB7;ATP5J;NDUFB8;ATP5H;NDUFS7;NDUFA6;ATP5O;NDUFS8;ATP5D;ATP5B;UQCRFS1;NDUFC1;ATP5C1;NDUFB5;SDHC;NDUFB6;UQCRC1;POLR2K;UQCRC2;NDUFS4;NDUFS3;ATP5F1;CYC1;NDUFV3;NDUFS2;POLR2E;POLR2J3;POLR2I;POLR2F;PPARG;POLR2G;ATP5A1;AP2B1;AP2A2;NDUFA5;ATP5G1;VDAC3;NDUFA8"
"48","Immune system",2.67218341765105e-05,0.0010226518160524,0.575610261071129,-0.30480784513102,-1.5908764921895,360,"C1QC;HLA-DQA1;C1QA;TCEB2;CD74;PSME2;ISG15;LGMN;C1QB;HLA-DMB;IFI27;PSMB6;HLA-DRB1;HLA-DPB1;HLA-DRA;MT2A;HLA-DPA1;UBE2L6;HLA-DQB1;CDKN1A;FCGR1A;CASP1;STAT1;HLA-DQA2;GBP1;MX1;HLA-F;LY86;EIF4A1;LILRB4;PSMA5;PSMB2;XAF1;CD36;PSMB7;TCEB1;OAS1;EIF4A3;C2;HLA-DRB5;TAP1;IFI35;PSMB9;CD4;DYNC1I2;GBP5;PTPN2;PSMC5;IFIH1;CD86;EIF4E2;IFIT3;DUSP3;PSMB5;IRF7;DYNC1H1;PSMA3;UNC93B1;IL7R;EIF2AK2;UBE2N;FCGR2B;PSMC2;EVL;PSMD11;PSMD13;DCTN3;LILRB1;OAS2;UBE2F;PSMC3;GBP4;PSMC4;STUB1;EIF4E;DTX3L;BIRC3;UBE2Z;IGLC3;UBE2E1;PSMD14;RBCK1;DEFB1;ITPR2;RNF144B;IL6ST;PIN1;RIPK2;CD40;RAPGEF1;AP2B1;OASL;AP2A2;EIF4G1;SUGT1;UBA1;PSMD1;IGKC;PSMF1;SEC31A;PSMD2;MEF2C;OAS3;STAT2;PSMB10;IGLC2;PPP2R1A;IFIT1;SEC61A1;IRF8;DDOST;HLA-DMA;IFNAR2;AP1B1;MEF2A;BCL2L1;CIITA;MAPKAPK3;TNIP2;TOLLIP;PPP2CB;NR4A1;UBE2V2;ANAPC13;IGHM;HERC5;UBE3A;PRKCSH;SOCS1;EEA1;PSMD6;PTPN1"
"49","Immune system signaling by interferons, interleukins, prolactin, and growth hormones",0.000755293422676798,0.0138895517728616,0.477270815362862,-0.364412288309867,-1.73867348362151,121,"HLA-DQA1;ISG15;IFI27;HLA-DRB1;HLA-DPB1;HLA-DRA;MT2A;HLA-DPA1;UBE2L6;HLA-DQB1;FCGR1A;CASP1;STAT1;HLA-DQA2;GBP1;MX1;HLA-F;EIF4A1;XAF1;OAS1;EIF4A3;HLA-DRB5;IFI35;GBP5;PTPN2;EIF4E2;IFIT3;IRF7;IL7R;EIF2AK2;UBE2N;OAS2;GBP4;EIF4E;UBE2E1;IL6ST;PIN1;RIPK2;RAPGEF1;OASL;EIF4G1;OAS3;STAT2;IFIT1;IRF8"
"50","Integrin signaling pathway",0.000477063103334434,0.0092537171824871,0.49849310876659,0.351883772944331,2.00940663793724,52,"ARPC4;VASP;ARPC5;RHOA;PTPRC;MYL12B;ARPC1B;ARPC2;CDC42;MYL12A;ACTG1;RAC1;ARPC3;LRPAP1"
"51","Interferon alpha/beta signaling",0.00118009068951648,0.0194303304227365,0.45505986738723,-0.512662748816993,-1.92804070548698,31,"ISG15;IFI27;STAT1;MX1;HLA-F;XAF1;OAS1;IFI35;IFIT3;IRF7;OAS2;OASL;OAS3;STAT2;IFIT1;IRF8;IFNAR2;SOCS1;PTPN1"
"52","Interferon signaling",4.59344639284686e-07,4.06520005766947e-05,0.674962860011025,-0.470886306401608,-2.15044199096025,89,"HLA-DQA1;ISG15;IFI27;HLA-DRB1;HLA-DPB1;HLA-DRA;MT2A;HLA-DPA1;UBE2L6;HLA-DQB1;FCGR1A;STAT1;HLA-DQA2;GBP1;MX1;HLA-F;EIF4A1;XAF1;OAS1;EIF4A3;HLA-DRB5;IFI35;GBP5;PTPN2;EIF4E2;IFIT3;IRF7;EIF2AK2;UBE2N;OAS2;GBP4;EIF4E;UBE2E1;PIN1;OASL;EIF4G1;OAS3;STAT2;IFIT1;IRF8"
"53","Interferon-gamma signaling pathway",7.54066106848037e-05,0.00213551521459364,0.538434096309916,-0.491734648161542,-2.05596162959201,50,"HLA-DQA1;HLA-DRB1;HLA-DPB1;HLA-DRA;MT2A;HLA-DPA1;HLA-DQB1;FCGR1A;CASP1;STAT1;HLA-DQA2;GBP1;HLA-F;OAS1;HLA-DRB5;GBP5;PTPN2;IRF7"
"54","Interleukin-1 regulation of extracellular matrix",0.000864232797660497,0.0154905524238894,0.477270815362862,0.377731382103304,1.99016478450316,37,"IL1R2;CCL7;DUSP6;CXCL1;CXCL8;NAMPT;LCP1;SRGN;CCL2;SPP1"
"55","Interleukin-5 regulation of apoptosis",2.78395832846776e-06,0.00017139499970045,0.627256739718528,0.430450269781819,2.4253229000688,48,"DUSP6;CXCL1;HIF1A;CD55;CXCL8;UPP1;TPM4;IER2;GK;CD44;IER3;ENO1;CCL2;SRI;CCND3;MKNK1;ZFP36L2;IRF2;CLEC2B"
"56","Interleukin-9 regulation of target genes",0.00287765463701996,0.0407475896602026,0.431707695803346,0.696060020131104,1.95307170416508,7,"CCL7;CDKN2D;SELL;CCL2"
"57","Intestinal immune network for IgA production",9.266326974081e-07,6.56055949764935e-05,0.659444398037935,-0.759441920919047,-2.33285931180705,15,"HLA-DQA1;HLA-DMB;HLA-DRB1;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;HLA-DQA2;HLA-DRB5;CD86"
"58","Inwardly rectifying potassium channels",0.00340598754631705,0.0463738304383167,0.431707695803346,0.886684906520748,1.70491181358017,3,"KCNJ15;GNG5;GNGT2"
"59","Leishmaniasis",0.00267060730544135,0.0381977772172218,0.431707695803346,-0.507622486368202,-1.87374042166312,29,"HLA-DQA1;HLA-DMB;HLA-DRB1;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;FCGR1A;STAT1;HLA-DQA2;HLA-DRB5"
"60","Leukocyte transendothelial migration",2.35272828938228e-05,0.000925406460490362,0.575610261071129,0.538296924831553,2.53819309601095,26,"ITGAM;MSN;VASP;RHOA;GNAI2;MYL12B;CDC42;MYL12A;CYBB;ACTG1;RAC1"
"61","Licensing factor removal from origins",1.3319497622575e-05,0.000650358918398834,0.593325476396405,-0.594889484730382,-2.23728200356486,31,"PSME2;PSMB6;PSMA5;PSMB2;PSMB7;PSMB9;PSMC5;PSMB5;PSMA3;PSMC2;PSMD11;PSMD13;PSMC3;PSMC4;PSMD14;PSMD1;PSMF1;PSMD2;PSMB10"
"62","MHC class II antigen presentation",0.00131323623886536,0.0208937361149815,0.45505986738723,-0.445704497502909,-1.8558816672569,49,"HLA-DQA1;CD74;LGMN;HLA-DMB;HLA-DRB1;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;HLA-DQA2;HLA-DRB5;DYNC1I2;DYNC1H1"
"63","Metabolism",0.000123567110218771,0.00312448264410322,0.518848077743792,-0.281270287932107,-1.49026869853166,497,"ATP5E;GPX1;FABP4;ATP5L;ALDOA;LGMN;ALDH2;ATP5G2;LAP3;ATP5J2;ATP5G3;ATP5I;NDUFA3;COMT;NDUFB7;AKR1A1;PHPT1;ATP5J;NDUFB8;ATP5H;NDUFA12;NDUFS7;BLVRA;NDUFA6;SCP2;ATP5O;HEXA;MDH1;NDUFS8;ATP5D;ATP5B;UQCRFS1;PLA2G7;LDHB;CD36;GM2A;CNDP2;ACADVL;NDUFC1;ATP5C1;NDUFB5;CYP27A1;IDH1;POLE4;SDHC;NDUFB6;LPL;CYB5A;MTHFD2;ETFB;MDH2;NEU1;UQCRC1;NANS;HADHA;APOE;POLR2K;GBA;CBR1;SMS;CAT;NCOR1;INHBA;CES1;GAA;ARF3;NME1;PPCS;PDK4;ECHS1;PCBD1;MAT2A;DCXR;UQCRC2;NDUFS4;GLA;NDUFS3;GNB4;ATP5F1;IL4I1;CYC1;DNMT1;NDUFV3;NDUFS2;POLR2E;ALDH1A1;CYB5R3;MGLL;SAT2;AGPAT2;MGST2;POLR2J3;POLR2I;HADHB;AKR1B1;MGAT4A;POLR2F;DEGS1;GNA15;ETFA;APIP;GCH1;IDH3G;KYNU;P4HA1;POLR2G;ATP5A1;ATP6V1H;HSD17B10;MLX;NOSIP;ITPR2;CHD9;ETHE1;PLA2G16;ST3GAL1;GUSB;ACAA2;CMPK1;NDUFA5;PAPSS1;ATP6V0A1;PNP;DUT;ACAA1;CMPK2;ATP5G1;IDH2"
"64","Mitotic G1-G1/S phases",0.00210289912133309,0.0306979912969862,0.431707695803346,-0.418156542398259,-1.78622035980697,56,"PSME2;PSMB6;CDKN1A;PSMA5;PSMB2;PSMB7;PSMB9;PSMC5;PSMB5;PSMA3;PSMC2;PSMD11;PSMD13;PSMC3;PSMC4;PSMD14;PSMD1;PSMF1;PSMD2;PSMB10;PPP2R1A;RPA3;MAX;RBBP4;PPP2CB;PSMD6;PSMD3;UBB;PSMD12"
"65","Monocyte and its surface molecules",0.000966195282712625,0.0164835243412178,0.477270815362862,0.878203173961222,1.91477283953839,4,"ITGAM;SELL;CD44"
"66","Muscle contraction",9.76221484465755e-05,0.00261290212087732,0.538434096309916,0.684762535810637,2.28373328186404,11,"TPM4;MYL12B;TPM3;CALM1;MYL6;VIM;TNNI2"
"67","Neurotransmitter clearance in the synaptic cleft",0.000223457452819752,0.00502247227290109,0.518848077743792,-0.989058582174607,-1.6159108683858,2,"ALDH2;COMT"
"68","Oncostatin M",4.3159492598606e-05,0.0014212521283634,0.557332238758646,0.354639411160966,2.13535292321005,65,"S100A12;S100P;CCL7;CXCL1;HIF1A;CXCL8;S100A8;SERPINB1;NAMPT;S100A9;IER3;PGK1;ANXA1;TIMP1;CCL2"
"69","Oxidative phosphorylation",1e-10,1.96278845908086e-08,NA,-0.645121074931475,-2.77831450826163,61,"ATP5E;ATP5L;ATP5G2;ATP5J2;ATP5G3;ATP5I;NDUFA3;NDUFB7;ATP5J;NDUFB8;ATP5H;NDUFS7;NDUFA6;ATP5O;NDUFS8;ATP5D;ATP5B;UQCRFS1;NDUFC1;ATP5C1;NDUFB5;PPA1;SDHC;NDUFB6;UQCRC1;UQCRC2;NDUFS4;NDUFS3;ATP5F1;CYC1;NDUFV3;NDUFS2"
